segmentnr	original	folio	stemmed
BO_K12_D0600=D0962_H0562:325a-0	@325a rgya gar skad du /	325a	rgya gar skad du 
BO_K12_D0600=D0962_H0562:325a-1	a'arya aushn'i sha dzva la n'a ma dh'a ra ni /	325a	aarya aushn sha dzva la na ma dha ra ni 
BO_K12_D0600=D0962_H0562:325a-2	bod skad du /	325a	bod skad du 
BO_K12_D0600=D0962_H0562:325a-3	'phags pa gtsug tor 'bar ba zhes bya ba'i gzungs /	325a	phag ba gtsug tor bar ba zhes byed ba gzungs 
BO_K12_D0600=D0962_H0562:325a-4	dkon mchog gsum la phyag 'tshal lo //	325a	dkon(d) mchog gsum la phyag tshal lo 
BO_K12_D0600=D0962_H0562:325a-5	nams sa manta buddha n'am/	325a	nams sa manta buddha 
BO_K12_D0600=D0962_H0562:325a-6	aa pra ti ha ta sh'a sa n'a n'am/	325a	aa pra ti ha ta sha sa na 
BO_K12_D0600=D0962_H0562:325a-7	aom kha kha /	325a	aom kha kha 
BO_K12_D0600=D0962_H0562:325a-8	kh'a hi kh'a hi /	325a	kha hi kha hi 
BO_K12_D0600=D0962_H0562:325a-9	h'um h'um/ dzva la dzva la /	325a	hum dzva la dzva la 
BO_K12_D0600=D0962_H0562:325a-10	pra dzva la pra dzva la /	325a	pra dzva la pra dzva la 
BO_K12_D0600=D0962_H0562:325a-11	tishtha tishtha / phat phat/	325a	tishtha tishtha phat 
BO_K12_D0600=D0962_H0562:325a-12	sarba du ra ni mi dhi du sv'ah'a /	325a	sarba du ra ni mi dhi du svaha 
BO_K12_D0600=D0962_H0562:325a-13	shintim ku ru sv'ah'a /	325a	shintim ku ru svaha 
BO_K12_D0600=D0962_H0562:325a-14	sangs rgyas stong gi sngags 'di ni //	325a	sangs rgya stong gi sngags di ni 
BO_K12_D0600=D0962_H0562:325a-15	gtsug tor 'bar ba zhes grags te //	325a	gtsug tor bar ba zhes grags te 
BO_K12_D0600=D0962_H0562:325a-16	las rnams gang dag stong phrag dang // brgyad cu dang ni dgu phrag lnga //	325a	las rnams gang dag stong phrag dang brgyad cu dang ni dgu phrag lnga 
BO_K12_D0600=D0962_H0562:325a-17	rnam pa sna tshogs las rnams dang // bkra shis dpal grags thams cad byed //	325a	rnam ba sna tshogs las rnams dang bkra shis dpal grags thams cad byed 
BO_K12_D0600=D0962_H0562:325a-18	rmi lam ngan dang mtshan ma ngan //	325a	rmi lam ngan dang mtshan ma ngan 
BO_K12_D0600=D0962_H0562:325a-19	lan gcig bzlas pas sel bar byed //	325a	lan gcig bzlas ba sel ba byed 
BO_K12_D0600=D0962_H0562:325a-20	bgegs rnams ma lus rab tu 'jig /	325a	bgegs rnams ma lus rab tu jig 
BO_K12_D0600=D0962_H0562:325a-21	tshe dang bsod nams 'phel bar 'gyur //	325a	tshe dang bsod nams phel ba gyur 
BO_K12_D0600=D0962_H0562:325a-22	gtsug tor 'bar ba zhes bya ba'i gzungs rdzogs so ////	325a	gtsug tor bar ba zhes byed ba gzungs rdzogs so 
