segmentnr	original	stemmed
BO_T02_D3560:192b-0	@192b # // rgya gar skad du /	rgya gar skad du 
BO_T02_D3560:192b-1	bhri ku t'i s'a dha nam /	bhri ku t sa dha nam 
BO_T02_D3560:192b-2	bod skad du /	bod skad du 
BO_T02_D3560:192b-3	khro gnyer can gyi sgrub thabs /	khro gnyer can gyi sgrub thabs 
BO_T02_D3560:192b-4	'phags ma khro gnyer can la phyag 'tshal lo //	phag ma khro gnyer can la phyag tshal lo 
BO_T02_D3560:192b-5	sngon du gsungs pa'i cho gas 'dir rang gi snying gar zla ba'i dbus su sa bon drug pa'i bzhi pa dang po'i brgyad pas gang ba'i stong pa'i brdas mnan cing zla ba phyed pas dbu brgyan pa'o //	sngon du gsungs ba cho gas dir rang gi snying gar zla ba dbus su sa bon drug ba bzhi ba dang po brgyad ba gang ba stong ba brda gnon cing zla ba phyed ba dbu rgyan ba 
BO_T02_D3560:192b-6	de las skyes pa'i khro gnyer can sku mdog ser mo phyag bzhi pa /	de las skye ba khro gnyer can sku mdog ser mo phyag bzhi ba 
BO_T02_D3560:192b-7	zhi zhing ral pa'i cod pan can /	zhi zhing ral ba cod pan can 
BO_T02_D3560:192b-8	phyag g-yas pa dag na mchog sbyin dang / bgrang phreng bsnams pa /	phyag g-yas ba dag na mchog sbyin dang bgrong phreng snom ba 
BO_T02_D3560:192b-9	g-yon pa dag na dbyu gu dang / spyi blugs bsnams pa /	g-yon ba dag na dbyu gu dang spyi blugs snom ba 
BO_T02_D3560:192b-10	padma dang zla ba'i gdan la bzhugs pa bsgom par bya'o //	padma dang zla ba gdan la bzhugs ba bsgom ba byed 
BO_T02_D3560:192b-11	de nas phyag rgya bcing bar bya ste /	de nas phyag rgya ching ba byed ste 
BO_T02_D3560:192b-12	lag pa gnyis brkyang nas mtheb chen dag gis mthe'u chung dag so sor mnan par bya'o //	lag ba gnyis rkyong nas mtheb chen dag gis mtheu chung dag so sor gnon ba byed 
BO_T02_D3560:192b-13	lhag ma rnams ni rdo rje'i mtshan nyid do //	lhag ma rnams ni rdo rje mtshan nyid do 
BO_T02_D3560:192b-14	'di ni khro gnyer can gyi phyag rgya'o //	di ni khro gnyer can gyi phyag rgya 
BO_T02_D3560:192b-15	phyi nas sngags bzlas par bya'o //	phyi nas sngags bzlas ba byed 
BO_T02_D3560:192b-16	aom bhrim sv'a h'a /	aom bhrim sva ha 
BO_T02_D3560:192b-17	khro gnyer can gyi sgrub thabs rdzogs so//	khro gnyer can gyi sgrub thabs rdzogs 
