segmentnr	original	stemmed
BO_T02_D3234:8a-0	@8a # // rgya gar skad du /	rgya gar skad du 
BO_T02_D3234:8a-1	aa shva ka k'a na t'a m'a r'i tsyee s'a dha nam /	aa shva ka ka na ta ma r tsyee sa dha nam 
BO_T02_D3234:8a-2	bod skad du /	bod skad du 
BO_T02_D3234:8a-3	mya ngan med la dga' ba'i 'od zer can gyi sgrub thabs /	mya ngan med la dga ba d zer can gyi sgrub thabs 
BO_T02_D3234:8a-4	rang gi snying gar sna tshogs padma zla ba'i steng du yi ge mam ser po rnam par bkod la de kho na bzhin du thams cad dang bdag nyid kyang so sor snang ba tsam du bsdus te /	rang gi snying gar sna tshogs padma zla ba steng du yi ge mam ser po rnam ba bkod la de kho na bzhin du thams cad dang bdag nyid kyang so sor snang ba tsam du sdud te 
BO_T02_D3234:8a-5	aom rang bzhin gyis rnam par dag pas chos thams cad rang bzhin rgyas rnam par dag pa ni bdag yin no zhes brjod par bya'o //	aom rang bzhin gyis rnam ba dag ba chos thams cad rang bzhin rgya rnam ba dag ba ni bdag yin no zhes rjod ba byed 
BO_T02_D3234:8a-6	de nas yi ge mam de yongs su gyur pa shing mya ngan med kyi phung po'o //	de nas yi ge mam de yongs su gyur ba shing mya ngan med kyi phung po 
BO_T02_D3234:8a-7	yang yi ge mam mo /	yang yi ge mam mo 
BO_T02_D3234:8a-8	de dag thams cad yongs su gyur pas kyang bcom ldan 'das ma sku mdog ser mo zhal gcig phyag gnyis ma ste /	de dag thams cad yongs su gyur ba kyang joms ldan da ma sku mdog ser mo zhal gcig phyag gnyis ma ste 
BO_T02_D3234:8a-9	rnam par snang mdzad kyis nye bar mdzes par byas pa'i rin po che'i dbu rgyan dang ldan pa /	rnam ba snang mdzad kyis nye ba mdzes ba byed ba rin po che dbu rgyan dang ldan ba 
BO_T02_D3234:8a-10	lhag par gsal bar byed pa'i gser gyi mdog can /	lhag ba gsal ba byed ba gser gyi mdog can 
BO_T02_D3234:8a-11	sna tshogs padma dang zla ba la g-yon bskum pas gnas pa'i phag la bcibs pa /	sna tshogs padma dang zla ba la g-yon skum ba gnas ba phag la chib ba 
BO_T02_D3234:8a-12	gzhon pa lang tshol ba bcing dregs ba dang ldan pa /	gzhon ba lang tshol ba ching dregs ba dang ldan ba 
BO_T02_D3234:8a-13	mthor bteg pa'i phyag g-yon pas ni shing ljon pa mya ngan med kyi yal ga bsgril te bsnams pa /	mthor bteg ba phyag g-yon ba ni shing ljon ba mya ngan med kyi yal ga sgril te snom ba 
BO_T02_D3234:8a-14	g-yas pas ni mchog sbyin pa'o //	g-yas ba ni mchog sbyin ba 
BO_T02_D3234:8a-15	do shal la sogs pas sku brgyan par gyur pa /	do shal la sogs ba sku rgyan ba gyur ba 
BO_T02_D3234:8a-16	na bza' dkar po smad g-yogs su bsnams pa /	na bza dkar po smad g-yogs su snom ba 
BO_T02_D3234:8a-17	rang gi snying ga'i yi ge mam las phag gi gzugs kyi 'od zer du ma spros pas ma rungs pa rnams 'joms par byed par bsam par bya ba'o //	rang gi snying ga yi ge mam las phag gi gzugs kyi d zer du ma spros ba ma rungs ba rnams joms ba byed ba bsam ba byed ba 
BO_T02_D3234:8a-18	aom m'a r'i tsyee sv'a h'a /	aom ma r tsyee sva ha 
BO_T02_D3234:8a-19	de nas ji lta ba bzhin du gshegs su gsol par ji ltar ba de bar rgyu bar bya ba'o //	de nas ji lta ba bzhin du gshegs su gsol ba ji ltar ba de ba rgyu ba byed ba 
BO_T02_D3234:8a-20	yul gzhan du 'jug na lam du 'gro bar gyur na ni /	yul gzhan du jug na lam du gro ba gyur na ni 
BO_T02_D3234:8a-21	bdag nyid kyis stod g-yogs kyi grva nas bzung la sngags 'di lan bdun gyi bar du yongs su bsngags shing /	bdag nyid kyis stod g-yogs kyi grva nas bzung la sngags di lan bdun gyi ba du yongs su bsngags shing 
BO_T02_D3234:8a-22	bzlas pa'i gos kyi tha ma bzung ste ji lta ba bzhin du mdud pa byas la 'gro bar bya ste /	bzlas ba gos kyi tha ma bzung ste ji lta ba bzhin du mdud ba byed la gro ba byed ste 
BO_T02_D3234:8a-23	chom rkun la sogs pas 'tshe bar mi 'gyur ro //	chom rkun la sogs ba tshe ba mi gyur ro 
BO_T02_D3234:8a-24	mngon par 'dod pa'i yul du phyin nas ni mdud pa 'grol bar bya ba'o //	mngon ba dod ba yul du phyin nas ni mdud ba grol ba byed ba 
BO_T02_D3234:8a-25	'di ni gdams ngag go //	di ni doms ngag go 
BO_T02_D3234:8b-0	mya ngan med la dga' ba'i 'od zer can gyi sgrub @8b thabs rdzogs so //	mya ngan med la dga ba d zer can gyi sgrub thabs rdzogs so 
BO_T02_D3234:8b-1	aa bha ya las tshul khrims rgyal mtshan gyis bsgyur ba'o//	aa bha ya las tshul khrims rgyal mtshan gyis sgyur 
