segmentnr	original	folio	stemmed
BO_K12_D0778=D1012_H0720:128b-0	@128b de nas yon yongs su sbyong ba'i gzungs /	128b	de nas yon yongs su sbyong ba gzungs 
BO_K12_D0778=D1012_H0720:128b-1	na mo bha ga ba te /	128b	na mo bha ga ba te 
BO_K12_D0778=D1012_H0720:128b-2	su me ru kalpa r'a dz'a ya /	128b	su me ru kalpa ra dza ya 
BO_K12_D0778=D1012_H0720:128b-3	ta th'a ga t'a ya /	128b	ta tha ga ta ya 
BO_K12_D0778=D1012_H0720:128b-4	aarha te / samya ksam buddh'a ya /	128b	aarha te samya ksam buddha ya 
BO_K12_D0778=D1012_H0720:128b-5	tadya th'a / aom kalpe kalpe /	128b	tadya tha aom kalpe kalpe 
BO_K12_D0778=D1012_H0720:128b-6	ma h'a kalpe /	128b	ma ha kalpe 
BO_K12_D0778=D1012_H0720:128b-7	kalpa pa ri sho dha ni sv'ah'a /	128b	kalpa ba ri sho dha ni svaha 
BO_K12_D0778=D1012_H0720:128b-8	gzungs 'di lan gcig bzlas pas ri rab tsam gyi yon yongs su sbyong bar byed par gsungs pas lan lnga'am /	128b	gzungs di lan gcig bzlas ba ri rab tsam gyi yon yongs su sbyong ba byed ba gsungs ba lan lnga 
BO_K12_D0778=D1012_H0720:128b-9	lan drug tsam bzlas so //	128b	lan drug tsam bzlas so 
BO_K12_D0778=D1012_H0720:128b-10	yon yongs su sbyong ba'i gzungs rdzogs so ////	128b	yon yongs su sbyong ba gzungs rdzogs so 
