segmentnr	original	folio	stemmed
BO_K12_D0417-18-2_H0378-2:353b-0	@353b / /rdo rje'i snying pos gsol pa /	353b	rje snying pos gsol ba 
BO_K12_D0417-18-2_H0378-2:353b-1	bcom ldan rdo rje snying po bdag /	353b	joms ldan rdo rje snying po bdag 
BO_K12_D0417-18-2_H0378-2:353b-2	sangs rgyas thams cad gcig bsdus pha //	353b	sangs rgya thams cad gcig sdud pha 
BO_K12_D0417-18-2_H0378-2:353b-3	rab gnas mtshan nyid bzang po nyid //	353b	rab gnas mtshan nyid bzang po nyid 
BO_K12_D0417-18-2_H0378-2:353b-4	rim pa ji bzhin bshad du gsol //	353b	rim ba ji bzhin chad du gsol 
BO_K12_D0417-18-2_H0378-2:353b-5	bcom ldan 'das kyis bka' stsal ba //	353b	joms ldan da kyis bka stsal ba 
BO_K12_D0417-18-2_H0378-2:353b-6	ci gsungs sbyin sreg byas nas ni //	353b	ci gsungs sbyin sreg byed nas ni 
BO_K12_D0417-18-2_H0378-2:353b-7	dkyil 'khor dam pa bzhengs pa dang // snga bar sku gzugs sbyang ba dang // sta gon la sogs byas nas ni //	353b	dkyil khor dam ba bzhengs ba dang snga ba sku gzugs sbyong ba dang sta gon la sogs byed nas ni 
BO_K12_D0417-18-2_H0378-2:353b-8	nam mkhar bzhugs pa'i sangs rgyas kun //	353b	nam mkhar bzhugs ba sangs rgya kun 
BO_K12_D0417-18-2_H0378-2:353b-9	sku gzugs snying gar rab tu gzhug //	353b	sku gzugs snying gar rab tu jug 
BO_K12_D0417-18-2_H0378-2:353b-10	rang 'dod lha mnyam rnal 'byor pa //	353b	rang dod lha mnyam rnal byor ba 
BO_K12_D0417-18-2_H0378-2:353b-11	rab mthong sngags kyi pha rol son //	353b	rab mthong sngags kyi pha rol son 
BO_K12_D0417-18-2_H0378-2:353b-12	aom badzra pushpe a'a: h'um sv'a h'a /	353b	aom badzra pushpe aa: hum sva ha 
BO_K12_D0417-18-2_H0378-2:353b-13	aom badzra dhu pe a'a: h'um sv'a h'a /	353b	aom badzra dhu pe aa: hum sva ha 
BO_K12_D0417-18-2_H0378-2:353b-14	aom badzra d'i pe a'a: h'um sv'a h'a /	353b	aom badzra d pe aa: hum sva ha 
BO_K12_D0417-18-2_H0378-2:353b-15	aom badzra gandha a'a: h'um sv'a h'a /	353b	aom badzra gandha aa: hum sva ha 
BO_K12_D0417-18-2_H0378-2:353b-16	aom badzra nee wi dye a'a: h'um sv'ah'a /	353b	aom badzra nee wi dye aa: hum svaha 
BO_K12_D0417-18-2_H0378-2:353b-17	sna tshogs h'um ni rdzogs pa dang // me tog la sogs dbul ba nyid //	353b	sna tshogs hum ni rdzogs ba dang me tog la sogs bul ba nyid 
BO_K12_D0417-18-2_H0378-2:353b-18	gong ma'i rgyud kyi chog rim pas //	353b	gong ma brgyud kyi chog rim ba 
BO_K12_D0417-18-2_H0378-2:353b-19	mchod yon zhabs bsil gong ma bzhin //	353b	mchod yon zhabs bsil gong ma bzhin 
BO_K12_D0417-18-2_H0378-2:354a-0	zhi ba'i thab khung zlum @354a *//	354a	zhi ba thab khung zlum 
BO_K12_D0417-18-2_H0378-2:354a-1	po nyid; ;rgyas pa nyid kyi gru bzhi pa //	354a	po nyid; ;rgyas ba nyid kyi gru bzhi ba 
BO_K12_D0417-18-2_H0378-2:354a-2	gsad pa la ni gru gsum brjod //	354a	gsad ba la ni gru gsum rjod 
BO_K12_D0417-18-2_H0378-2:354a-3	'di nyid la ni lhag ma sgrub //	354a	di nyid la ni lhag ma sgrub 
BO_K12_D0417-18-2_H0378-2:354a-4	khru gang dang ni khru phyed nyid //	354a	khru gang dang ni khru phyed nyid 
BO_K12_D0417-18-2_H0378-2:354a-5	zhi ba'i steng dang 'og tu yin; ;khru do dang ni khru gang nyid //	354a	zhi ba steng dang g tu yin; ;khru do dang ni khru gang nyid 
BO_K12_D0417-18-2_H0378-2:354a-6	rgyas pa'i steng dang 'og tu brjod //	354a	rgya ba steng dang g tu rjod 
BO_K12_D0417-18-2_H0378-2:354a-7	sor mo nyi shu'am de yi phyed //	354a	sor mo nyi shu de yi phyed 
BO_K12_D0417-18-2_H0378-2:354a-8	gsad pa'i steng dang 'og tu yang //	354a	gsad ba steng dang g tu yang 
BO_K12_D0417-18-2_H0378-2:354a-9	zhi bar kha dog dkar po 'gyur //	354a	zhi ba kha dog dkar po gyur 
BO_K12_D0417-18-2_H0378-2:354a-10	rgyas par ser po de bzhin no //	354a	rgya ba ser po de bzhin no 
BO_K12_D0417-18-2_H0378-2:354a-11	gsad pa la ni kha dog nag /	354a	gsad ba la ni kha dog nag 
BO_K12_D0417-18-2_H0378-2:354a-12	dbang la dmar por rab tu grags //	354a	dbang la dmar por rab tu grags 
BO_K12_D0417-18-2_H0378-2:354a-13	dbang la ji bzhin de ltar dgug /	354a	dbang la ji bzhin de ltar gugs 
BO_K12_D0417-18-2_H0378-2:354a-14	gsad la ji ltar zhe sdang sogs //	354a	gsad la ji ltar zhe sdang sogs 
BO_K12_D0417-18-2_H0378-2:354a-15	zhi la til dang rgyas la zho; ;gsad la tsher ma de bzhin no //	354a	zhi la til dang rgya la zho; ;gsad la tsher ma de bzhin no 
BO_K12_D0417-18-2_H0378-2:354a-16	sdang la sogs pa'ang tsher mar brjod //	354a	sdang la sogs ba tsher mar rjod 
BO_K12_D0417-18-2_H0378-2:354a-17	dbang dang dgug la autpa la //	354a	dbang dang gugs la autpa la 
BO_K12_D0417-18-2_H0378-2:354a-18	aom aagna ye ma h'a te dza sarba k'a ma pra s'a dha ka:/	354a	aom aagna ye ma ha te dza sarba ka ma pra sa dha 
BO_K12_D0417-18-2_H0378-2:354a-19	ku ru n+yi kri ta sa tv'a rtha aa smin sanni hi to bha b'a: me dgug pa'o //	354a	ku ru n+yi kri ta sa tva rtha aa smin sanni hi to bha ba: me gugs ba 
BO_K12_D0417-18-2_H0378-2:354a-20	ma ma rin chen sna tshogs 'dzin //	354a	ma ma rin chen sna tshogs dzin 
BO_K12_D0417-18-2_H0378-2:354a-21	kye yi rdo rje khros mchod pa'i //	354a	kye yi rdo rje khro mchod ba 
BO_K12_D0417-18-2_H0378-2:354a-22	lha mo khyod ni dbang du 'gyur //	354a	lha mo khyod ni dbang du gyur 
BO_K12_D0417-18-2_H0378-2:354a-23	che ge bdag ni dkyil 'khor 'bri //	354a	che ge bdag ni dkyil khor bri 
BO_K12_D0417-18-2_H0378-2:354a-24	s'arthanytsee ba pa r'a r'anytsa s'a dhi tam gatstsha ha bya bhu ka /	354a	sarthanytsee ba ba ra ranytsa sa dhi tam gatstsha ha byed bhu ka 
BO_K12_D0417-18-2_H0378-2:354a-25	a'a ga mi shya si ya th'a k'a le sarba siddhi ku ru shva me /	354a	aa ga mi shya si ya tha ka le sarba siddhi ku ru shva me 
BO_K12_D0417-18-2_H0378-2:354a-26	me dga' ba'i sngags so //	354a	me dga ba sngags so 
BO_K12_D0417-18-2_H0378-2:354a-27	aom dza: h'um bam ho: kham ram mchod yon gyi sngags so //	354a	aom dza: hum bam ho: kham ram mchod yon gyi sngags so 
BO_K12_D0417-18-2_H0378-2:354a-28	aom ni ri ti h'um kham zhabs bsil gyi sngags so //	354a	aom ni ri ti hum kham zhabs bsil gyi sngags so 
BO_K12_D0417-18-2_H0378-2:354a-29	aom dhvam dhvam lha bshos kyi sngags so //	354a	aom dhvam dhvam lha bshos kyi sngags so 
BO_K12_D0417-18-2_H0378-2:354a-30	kye'i rdo rje mkha' 'gro ma du ba'i sdom pa las /	354a	kye rdo rje mkha gro ma du ba sdom ba las 
BO_K12_D0417-18-2_H0378-2:354a-31	brtag pa gnyis pa rab gnas kyi le'u ste dang po'o ////	354a	rtog ba gnyis ba rab gnas kyi leu ste dang po 
BO_K12_D0417-18-2_H0378-2:354b-0	@354b rdo rje snying pos gsol pa /	354b	rdo rje snying pos gsol ba 
