segmentnr	original	analyzed	translated
['BO_T11_D4217:268a-24']	shes pa tha ma shes pa gzhan gyis nyams su myong min na /	shes pa tha ma shes pa gzhan gyis nyams su myong min na /	If the final consciousness is not experienced by another consciousness,
['BO_T11_D4217:268a-25']	de'i tshe / thams cad myong med thal bar 'gyur //	de'i tshe / thams cad myong med thal bar 'gyur //	then it follows that nothing would be experienced.
['BO_T11_D4217:268a-26']	shes pa snga ma snga mar 'byung ba'i ngang tshul can thams cad nyams su myong ba nyid du mi 'gyur te /	shes pa snga ma snga mar 'byung ba'i ngang tshul can thams cad nyams su myong ba nyid du mi 'gyur te /	All things that occur in the earlier consciousnesses would not be experienced.
['BO_T11_D4217:268a-27']	tha ma'i shes pa gcig po ma grub na //	tha ma'i shes pa gcig po ma grub na //	If the final consciousness is not established,
['BO_T11_D4217:268a-28']	zhes bya ba'i tha tshig go //	zhes bya ba'i tha tshig go //	then it is said that all would be unestablished.
['BO_T11_D4217:268a-29']	ci dang 'dra bar zhe na /	ci dang 'dra bar zhe na /	In what way is it not established?
['BO_T11_D4217:268a-30']	gzhan gyis nyams su myong ba bzhin //	gzhan gyis nyams su myong ba bzhin //	It is like the experience of another.
['BO_T11_D4217:268a-31']	dper na gzhan gyis shes pa'am //	dper na gzhan gyis shes pa'am //	For example, the experience of another’s consciousness🔽or the experience of an object is not experienced.
['BO_T11_D4217:268a-32']	yul nyams su myong ba nyams su myong bar 'gyur ba ma yin pa de bzhin du /	yul nyams su myong ba nyams su myong bar 'gyur ba ma yin pa de bzhin du /	In the same way,
['BO_T11_D4217:268b-0']	nyams su @268b myong bar mi 'gyur ro //	nyams su @268b myong bar mi 'gyur ro //	it is not experienced.
['BO_T11_D4217:268b-1']	de ltar ni 'gyur mod kyi /	de ltar ni 'gyur mod kyi /	This is how it is.
['BO_T11_D4217:268b-2']	gal te bdag myong mngon sum yin //	gal te bdag myong mngon sum yin //	If the experience of self is direct perception,
['BO_T11_D4217:268b-3']	gzhan gyis myong ba ma yin na //	gzhan gyis myong ba ma yin na //	it is not experienced by another.
['BO_T11_D4217:268b-4']	gang gi tshe bdag gis nyams su myong ba de nyid mngon sum zhes brjod pa /	gang gi tshe bdag gis nyams su myong ba de nyid mngon sum zhes brjod pa /	When that which is experienced by the self is called direct perception,
