segmentnr	original	analyzed	translated
['BO_T15_D4330:113a-0']	@113a # // rgya gar skad du /	@113a # // rgya gar skad du /	In Sanskrit:
['BO_T15_D4330:113a-1']	bya sha su dzantu bindu po sha n'a ma /	bya sha su dzantu bindu po sha n'a ma /	Byashashujantu-bindhu-poshan-nama.
['BO_T15_D4330:113a-2']	bod skad du /	bod skad du /	In Tibetan:
['BO_T15_D4330:113a-3']	lugs kyi bstan bcos skye bo gso ba'i thigs pa zhes bya ba /	lugs kyi bstan bcos skye bo gso ba'i thigs pa zhes bya ba /	The Treatise of Policy called The Drop that Nourishes People.
['BO_T15_D4330:113a-4']	'phags pa 'jam dpal gzhon nur gyur pa la phyag 'tshal lo ;	'phags pa 'jam dpal gzhon nur gyur pa la phyag 'tshal lo ;	Homage to the noble Mañjuśrī, the youthful one.
['BO_T15_D4330:113a-5']	/ dpal gyi 'byung gnas 'jam dpal kun gyi dpal //	/ dpal gyi 'byung gnas 'jam dpal kun gyi dpal //	The source of glory, the glory of all Mañjuśrī,
['BO_T15_D4330:113a-6']	mtha' dag byams pas khyab pas 'jam pa'i ngang //	mtha' dag byams pas khyab pas 'jam pa'i ngang //	With love pervading all, in the nature of gentleness,
['BO_T15_D4330:113a-7']	'jam dang dpal du grags pas thugs rje'i mgon //	'jam dang dpal du grags pas thugs rje'i mgon //	Known as gentle and glorious, the protector of compassion,
['BO_T15_D4330:113a-8']	'jam dpal kun gyi mgon la phyag 'tshal te //	'jam dpal kun gyi mgon la phyag 'tshal te //	I pay homage to the protector of all Mañjuśrī.
['BO_T15_D4330:113a-9']	blo dman skye bo mun nag lta bu la //	blo dman skye bo mun nag lta bu la //	For the sake of those of lesser intelligence, who are like darkness,
['BO_T15_D4330:113a-10']	snyan ngag sgron me rab tu gsal bya'i phyir //	snyan ngag sgron me rab tu gsal bya'i phyir //	In order to illuminate the lamp of poetics,
['BO_T15_D4330:113a-11']	bdag lta dman pas snyan ngag sgron med kyang //	bdag lta dman pas snyan ngag sgron med kyang //	Though I, of lowly understanding, am without the lamp of poetics,
['BO_T15_D4330:113a-12']	blun po gso phyir chu thigs tsam zhig brjod //	blun po gso phyir chu thigs tsam zhig brjod //	I will express just a drop of water for the sake of the foolish.
['BO_T15_D4330:113a-13']	gzhan gyi skyon rnams brjod mi bya //	gzhan gyi skyon rnams brjod mi bya //	One should not speak of others' faults.
['BO_T15_D4330:113a-14']	gzhan gyi skyon rnams ci brjod pa //	gzhan gyi skyon rnams ci brjod pa //	Whatever faults of others one speaks,
['BO_T15_D4330:113a-15']	de bzhin bdag la'ang yod pa ste //	de bzhin bdag la'ang yod pa ste //	One has the same faults oneself,
['BO_T15_D4330:113a-16']	dper na wa dang bud med bzhin //	dper na wa dang bud med bzhin //	Just like a fox or a woman.
['BO_T15_D4330:113a-17']	bdag nyid la ni bstod mi bya //	bdag nyid la ni bstod mi bya //	Do not praise yourself.
['BO_T15_D4330:113a-18']	bdag nyid la ni gang bstod pa //	bdag nyid la ni gang bstod pa //	Those who praise themselves
['BO_T15_D4330:113a-19']	de ni blo chung shes rab zhan //	de ni blo chung shes rab zhan //	are of little intelligence and poor in wisdom.
['BO_T15_D4330:113a-20']	dper na ka lan da ka 'dra //	dper na ka lan da ka 'dra //	They are like the kālā bird.
['BO_T15_D4330:113a-21']	grogs ngan bsten par mi bya ste //	grogs ngan bsten par mi bya ste //	Do not rely on bad friends.🔽Look how the lice were destroyed
['BO_T15_D4330:113a-22']	grogs po ngan pa sus bsten pa //	grogs po ngan pa sus bsten pa //	by the one who relied on a bad friend,
['BO_T15_D4330:113a-23', 'BO_T15_D4330:113a-24']	ma gu ta ni bsten pa yis //🔽shig rnams phung bar gyur la ltos //	ma gu ta ni bsten pa yis // shig rnams phung bar gyur la ltos //	the mung bean.
['BO_T15_D4330:113a-25', 'BO_T15_D4330:113b-0']	ngan pa rnams la gros mi gdab //🔽ngan pa rnams @113b la gros btab na //	ngan pa rnams la gros mi gdab // ngan pa rnams @113b la gros btab na //	Do not give bad people advice.🔽Even if you give good advice to bad people,
['BO_T15_D4330:113b-1', 'BO_T15_D4330:113b-2']	legs par smras kyang nyes par 'gro //🔽spre'us ka lan da ka yi //	legs par smras kyang nyes par 'gro // spre'us ka lan da ka yi //	it turns into something bad.🔽Look at the way the monkey
['BO_T15_D4330:113b-3']	tshang bshig pa yi tshul la ltos //	tshang bshig pa yi tshul la ltos //	destroyed the kālā bird’s nest.
['BO_T15_D4330:113b-4']	spyod pa rnams la bag yod bya //	spyod pa rnams la bag yod bya //	Be careful about your behavior.
['BO_T15_D4330:113b-5', 'BO_T15_D4330:113b-6']	bag med rgyun du spang bar bya //🔽glang chen myos pa lta bu ni //	bag med rgyun du spang bar bya // glang chen myos pa lta bu ni //	Always give up carelessness.🔽It is never right to be like
['BO_T15_D4330:113b-7', 'BO_T15_D4330:113b-8']	nam yang bya ba ma yin no //🔽tshig rnams brjod 'dod rtag tu ni //	nam yang bya ba ma yin no // tshig rnams brjod 'dod rtag tu ni //	an elephant in rut.🔽Always speak with care,
['BO_T15_D4330:113b-9']	ji ltar brtags shing de ltar smra //	ji ltar brtags shing de ltar smra //	after considering what to say.
['BO_T15_D4330:113b-10']	gang zhig ma brtags par smra ba //	gang zhig ma brtags par smra ba //	Those who speak without thinking
['BO_T15_D4330:113b-11']	dper na smyon pa'i bsnyon tshig bzhin //	dper na smyon pa'i bsnyon tshig bzhin //	are like the babbling of a madman.
['BO_T15_D4330:113b-12']	dgos pa med pa'i brdzun tshig ni //	dgos pa med pa'i brdzun tshig ni //	One should never speak
['BO_T15_D4330:113b-13']	nam yang brjod par mi bya'o //	nam yang brjod par mi bya'o //	a lie that serves no purpose.🔽Like the lie of the cat,
['BO_T15_D4330:113b-14']	bdag mi phan par gzhan gnod pa //	bdag mi phan par gzhan gnod pa //	harm others without benefitting oneself.🔽Like the lie of the mongoose,🔽one should not speak🔽words that are false.🔽Like the lie of the cat,🔽one should not speak🔽words that are false.
['BO_T15_D4330:113b-15']	dper na ni tso'i brdzun tshig bzhin //	dper na ni tso'i brdzun tshig bzhin //	Like the lie of the mongoose,🔽one should not speak
['BO_T15_D4330:113b-16']	brdzun gyi tshig rnams brjod mi bya //	brdzun gyi tshig rnams brjod mi bya //	words that are false.🔽Like the lie of the cat,🔽one should not speak🔽words that are false.
['BO_T15_D4330:113b-17', 'BO_T15_D4330:113b-18']	brdzun gyi tshig rnams brjod byas na //🔽myur bar gzhan gyis shes 'gyur te //	brdzun gyi tshig rnams brjod byas na // myur bar gzhan gyis shes 'gyur te //	Like the lie of the mongoose,🔽one should not speak🔽words that are false.🔽Like the lie of the cat,
['BO_T15_D4330:113b-19']	dper na byi la'i brdzun tshig bzhin //	dper na byi la'i brdzun tshig bzhin //	one should not speak🔽words that are false.
['BO_T15_D4330:113b-20']	tshul 'chos spyod par bya ba yis //	tshul 'chos spyod par bya ba yis //	Like the lie of the mongoose,🔽one should not speak🔽words that are false.🔽Like the lie of the cat,🔽one should not speak🔽words that are false.
['BO_T15_D4330:113b-21']	tshul 'chos spyod pa gang byed pa //	tshul 'chos spyod pa gang byed pa //	Like the lie of the mongoose,🔽one should not speak
['BO_T15_D4330:113b-22']	de ni btsun par mi 'gyur te //	de ni btsun par mi 'gyur te //	words that are false.🔽Like the lie of the cat,🔽one should not speak🔽words that are false.
['BO_T15_D4330:113b-23']	bram ze na ya'i rgyal mo bzhin //	bram ze na ya'i rgyal mo bzhin //	Like the lie of the mongoose,🔽one should not speak🔽words that are false.🔽Like the lie of the cat,🔽one should not speak🔽words that are false.🔽Like the lie of the mongoose,🔽one should not speak
['BO_T15_D4330:113b-24']	mdza' bshes ngan po'i tshig mi mnyan mdza' bshes ngan pa'i tshig nyan pa //	mdza' bshes ngan po'i tshig mi mnyan mdza' bshes ngan pa'i tshig nyan pa //	words that are false.🔽Like the lie of the cat,🔽one should not speak
['BO_T15_D4330:113b-25']	'dod don med par bslus par 'gyur //	'dod don med par bslus par 'gyur //	words that are false.🔽Like the lie of the mongoose,🔽one should not speak🔽words that are false.🔽Like the lie of the cat,
['BO_T15_D4330:113b-26']	dper na rus sbal spre'u bzhin //	dper na rus sbal spre'u bzhin //	one should not speak🔽words that are false.🔽Like the lie of the mongoose,🔽one should not speak
['BO_T15_D4330:113b-27']	g-yon can ngag 'jam tshig mi mnyan //	g-yon can ngag 'jam tshig mi mnyan //	words that are false.🔽Like the lie of the cat,🔽one should not speak
['BO_T15_D4330:113b-28']	de yi tshig rnams nyan byed pa //	de yi tshig rnams nyan byed pa //	words that are false.🔽Like the lie of the mongoose,
['BO_T15_D4330:113b-29']	dper na dbang po'i rgyal mtshan gyis //	dper na dbang po'i rgyal mtshan gyis //	one should not speak🔽words that are false.
['BO_T15_D4330:113b-30']	lha min la sogs bslus la ltos //	lha min la sogs bslus la ltos //	Look how the demigods and so forth were deceived.
['BO_T15_D4330:113b-31']	gnod sems can gyi tshig mi mnyan //	gnod sems can gyi tshig mi mnyan //	Do not listen to the words of the malicious.
['BO_T15_D4330:113b-32']	de yi tshig rnams nyan byed pa //	de yi tshig rnams nyan byed pa //	Those who listen to their words
['BO_T15_D4330:113b-33']	bdag la phan pa mi 'byung ste //	bdag la phan pa mi 'byung ste //	will not receive any benefit.
['BO_T15_D4330:113b-34']	wa ni sreg pas phung ba bzhin //	wa ni sreg pas phung ba bzhin //	Look how the fox was destroyed by the partridge.
['BO_T15_D4330:113b-35']	sdig pa'i grogs po yid mthun zhing //	sdig pa'i grogs po yid mthun zhing //	Even if a sinful friend speaks pleasantly
['BO_T15_D4330:113b-36']	dga' bas sna tshogs tshig brjod kyang //	dga' bas sna tshogs tshig brjod kyang //	and says various things with delight,
['BO_T15_D4330:113b-37']	sdig can de ni bdud yin te //	sdig can de ni bdud yin te //	that sinner is a demon,
['BO_T15_D4330:113b-38']	dper na gling gi srin mo bzhin //	dper na gling gi srin mo bzhin //	like the rākṣasīs of an island.
['BO_T15_D4330:113b-39']	phyug po kla klo la yang yod ;	phyug po kla klo la yang yod ;	Even barbarians can be rich.
['BO_T15_D4330:113b-40', 'BO_T15_D4330:113b-41']	/ dpa' bo dud 'gro la yang yod //🔽don dang mthun pa'i gtam smra ba //	/ dpa' bo dud 'gro la yang yod // don dang mthun pa'i gtam smra ba //	Even animals can be brave.
['BO_T15_D4330:113b-42', 'BO_T15_D4330:113b-43']	'jig rten 'di na shin tu dkon //🔽de phyir yon tan dag la ni //	'jig rten 'di na shin tu dkon // de phyir yon tan dag la ni //	But it is very rare in this world🔽to find someone who speaks in accord with the truth.🔽Therefore, strive with all your effort
['BO_T15_D4330:113b-44']	srog dang bsngos te 'bad par bya //	srog dang bsngos te 'bad par bya //	to acquire good qualities, even at the cost of your life.
['BO_T15_D4330:113b-45']	gang zhig yon tan mi slob pa //	gang zhig yon tan mi slob pa //	Those who do not study good qualities
['BO_T15_D4330:113b-46']	de ni blun po phyugs lta bu //	de ni blun po phyugs lta bu //	are like stupid animals.
['BO_T15_D4330:113b-47']	yon tan med pa'i kha nyid ni //	yon tan med pa'i kha nyid ni //	The mouth of one who lacks good qualities
['BO_T15_D4330:113b-48', 'BO_T15_D4330:113b-49']	sa yi bug dag dang mtshungs //🔽yon tan rab kyis brgyan pa yi //	sa yi bug dag dang mtshungs // yon tan rab kyis brgyan pa yi //	is like a hole in the ground.🔽The mouth of one who is adorned with good qualities
['BO_T15_D4330:113b-50']	kha ni pad mo yid 'ong ldan //	kha ni pad mo yid 'ong ldan //	is a beautiful lotus.
['BO_T15_D4330:113b-51']	gzhon pa'i dus su rig pa bslab //	gzhon pa'i dus su rig pa bslab //	In youth, one should study.
['BO_T15_D4330:113b-52']	zho 'dod pa ni dgun nas gso //	zho 'dod pa ni dgun nas gso //	If one wants yogurt, one should buy milk in winter.
['BO_T15_D4330:113b-53']	drod gsher ldan dus sa bon gdab //	drod gsher ldan dus sa bon gdab //	One should plant seeds when it is warm and moist.
['BO_T15_D4330:113b-54']	'di gsum 'phral du smin pa'i rgyu //	'di gsum 'phral du smin pa'i rgyu //	These three are the causes of immediate results.
['BO_T15_D4330:113b-55', 'BO_T15_D4330:114a-0']	yon tan dag la 'bad bya yi //🔽'gying @114a * //	yon tan dag la 'bad bya yi // 'gying @114a * //	One should strive for good qualities.
['BO_T15_D4330:114a-1', 'BO_T15_D4330:114a-2']	tshul dgos pa ci zhig yo //🔽'o ma med par gyur ba'i ba //	tshul dgos pa ci zhig yo // 'o ma med par gyur ba'i ba //	What is the point of being haughty?🔽Even if you attach a bell to a castrated bull,
['BO_T15_D4330:114a-3']	dril bu btags kyang nyor mi 'dod //	dril bu btags kyang nyor mi 'dod //	no one wants to buy it.
['BO_T15_D4330:114a-4']	bdag la phun sum tshogs bcas kyang //	bdag la phun sum tshogs bcas kyang //	Even if you are perfect,
['BO_T15_D4330:114a-5']	gzhan la brnyas par mi bya ste //	gzhan la brnyas par mi bya ste //	you should not despise others.
['BO_T15_D4330:114a-6']	zhun mar lta bu'i sems kyis su //	zhun mar lta bu'i sems kyis su //	With a mind like clarified butter,
['BO_T15_D4330:114a-7']	yon tan mtha' dag khong du sba //	yon tan mtha' dag khong du sba //	absorb all good qualities.
['BO_T15_D4330:114a-8']	shes rab ldan pa lus chung yang //	shes rab ldan pa lus chung yang //	Even if a wise person has a small body,
['BO_T15_D4330:114a-9']	dor thabs can gyis brnyas mi bya //	dor thabs can gyis brnyas mi bya //	you should not despise him because of his appearance.
['BO_T15_D4330:114a-10']	dper na blo gsal ri bong gis //	dper na blo gsal ri bong gis //	For example, because of the cleverness of a rabbit,
['BO_T15_D4330:114a-11']	seng ge srog dang phral ba bzhin //	seng ge srog dang phral ba bzhin //	he was able to kill a lion.🔽If you help others as if they were equal to you,
['BO_T15_D4330:114a-12', 'BO_T15_D4330:114a-13']	kun la mthon dman med pa yis //🔽nyi ma lta bu'i phan byas na //	kun la mthon dman med pa yis // nyi ma lta bu'i phan byas na //	without any sense of high or low,
['BO_T15_D4330:114a-14']	kun gyi lan rnams ldon 'gyur te //	kun gyi lan rnams ldon 'gyur te //	everyone will repay your kindness,
['BO_T15_D4330:114a-15']	byi bas glang chen bslang ba bzhin //	byi bas glang chen bslang ba bzhin //	just as the mice helped the elephant.
['BO_T15_D4330:114a-16', 'BO_T15_D4330:114a-17']	sems can kun la phan sems bskyed //🔽res 'ga' rtsva bzhin zhum par bya //	sems can kun la phan sems bskyed // res 'ga' rtsva bzhin zhum par bya //	Generate the intention to benefit all sentient beings.🔽Sometimes be humble like grass.
['BO_T15_D4330:114a-18']	res 'ga' me bzhin 'bar bar gyis //	res 'ga' me bzhin 'bar bar gyis //	Sometimes blaze like a fire.
['BO_T15_D4330:114a-19']	res 'ga' gangs ri lta bur bya //	res 'ga' gangs ri lta bur bya //	Sometimes be like a snow mountain.
['BO_T15_D4330:114a-20']	res 'ga' dmag la bab pa bzhin //	res 'ga' dmag la bab pa bzhin //	Sometimes be like an army descending.🔽When living in another's country
['BO_T15_D4330:114a-21']	gzhan gyi yul na gnas pa dang // gzhan gyi 'tsho bas 'tsho ba'i tshe //	gzhan gyi yul na gnas pa dang // gzhan gyi 'tsho bas 'tsho ba'i tshe //	and subsisting on another's livelihood,
['BO_T15_D4330:114a-22']	ji lta bur ni brnyas gyur kyang //	ji lta bur ni brnyas gyur kyang //	no matter how you are disparaged,
['BO_T15_D4330:114a-23']	kha rog 'dug pas bde ba 'thob //	kha rog 'dug pas bde ba 'thob //	you will attain happiness by remaining silent.
['BO_T15_D4330:114a-24']	skye bo ngan pa yun ring bsten byas shing //	skye bo ngan pa yun ring bsten byas shing //	Even though you have long relied on evil people
['BO_T15_D4330:114a-25']	bza' btung zhim pa mang po bsten byas kyang //	bza' btung zhim pa mang po bsten byas kyang //	and have enjoyed many delicious foods and drinks,
['BO_T15_D4330:114a-26']	des ni nges par grogs po spong 'gyur te //	des ni nges par grogs po spong 'gyur te //	they will certainly abandon you,
['BO_T15_D4330:114a-27']	dper na khron par lhung ba'i mi bzhin no //	dper na khron par lhung ba'i mi bzhin no //	just like a person who has fallen into a pit.
['BO_T15_D4330:114a-28']	mi gang blo ni rnam par 'gyur byed pa //	mi gang blo ni rnam par 'gyur byed pa //	A person whose mind is fickle
['BO_T15_D4330:114a-29']	de yi mdza' bshes rtag par mi 'gyur te //	de yi mdza' bshes rtag par mi 'gyur te //	is not a constant friend.
['BO_T15_D4330:114a-30']	rab tu nyon mongs mi de ci 'dra na //	rab tu nyon mongs mi de ci 'dra na //	What kind of person is that extremely afflicted one?
['BO_T15_D4330:114a-31']	shing shun tshon gyis ras dkar btsos pa bzhin //	shing shun tshon gyis ras dkar btsos pa bzhin //	He is like a white cloth dyed with plant sap.
['BO_T15_D4330:114a-32']	gal te blo ldan mkhas pa dgra bo dag / rab tu mi dga' bar ni byed 'dod na //	gal te blo ldan mkhas pa dgra bo dag / rab tu mi dga' bar ni byed 'dod na //	If wise, intelligent people wish to make their enemies very unhappy,
