segmentnr	original	analyzed	translated
['BO_T02_D2230:110a-0']	@110a # // rgya gar skad du /	@110a # // rgya gar skad du /	In Sanskrit:
['BO_T02_D2230:110a-1']	madhya ma sha ta /	madhya ma sha ta /	Madhyama-shataka
['BO_T02_D2230:110a-2']	bod skad du /	bod skad du /	In Tibetan:
['BO_T02_D2230:110a-3']	dbu ma drug pa /	dbu ma drug pa /	The Middle Way in Six Chapters
['BO_T02_D2230:110a-4', 'BO_T02_D2230:110a-5']	sangs rgyas la phyag 'tshal lo //🔽mtha' bzhi las ni rnam grol ba'i //	sangs rgyas la phyag 'tshal lo // mtha' bzhi las ni rnam grol ba'i //	Homage to the Buddha🔽There exists a momentary consciousness
['BO_T02_D2230:110a-6']	shes pa skad cig ma yod de //	shes pa skad cig ma yod de //	Free from the four extremes,
['BO_T02_D2230:110a-7']	rtog pas stong zhing dmigs pa med //	rtog pas stong zhing dmigs pa med //	Empty of conceptualization, objectless,
['BO_T02_D2230:110a-8']	rnam bcas smra bar shes par bya //	rnam bcas smra bar shes par bya //	To be understood as the proponent of aspects.
['BO_T02_D2230:110a-9']	chad pa ma yin rang rig ni //	chad pa ma yin rang rig ni //	Not nihilistic, self-aware,
['BO_T02_D2230:110a-10']	sngon po la sogs par snang ba //	sngon po la sogs par snang ba //	Appearing as blue and so forth,
['BO_T02_D2230:110a-11']	de ni mtshan nyid kyis ma skyes //	de ni mtshan nyid kyis ma skyes //	It is unborn by nature,
['BO_T02_D2230:110a-12']	dbu ma pa yi lam du 'dod //	dbu ma pa yi lam du 'dod //	Accepted as the path of the Mādhyamikas.
['BO_T02_D2230:110a-13']	mtha' bzhi las ni rnam grol ba'i //	mtha' bzhi las ni rnam grol ba'i //	The clarity that is free from the four extremes
['BO_T02_D2230:110a-14']	gsal ba brdzun pa'i mtshan nyid de //	gsal ba brdzun pa'i mtshan nyid de //	Has the characteristic of falsity,
['BO_T02_D2230:110a-15']	de ni sgyu ma ltar gnyis med//	de ni sgyu ma ltar gnyis med//	It is illusion-like, non-dual,
['BO_T02_D2230:110a-16']	tshad mar ldan pa'i grub mtha'o //	tshad mar ldan pa'i grub mtha'o //	The tenet endowed with valid cognition.
['BO_T02_D2230:110a-17']	dngos po stong par rig pa gang //	dngos po stong par rig pa gang //	That which knows things as empty
['BO_T02_D2230:110a-18']	snang ba med cing sgrib g-yogs med //	snang ba med cing sgrib g-yogs med //	Is without appearance and without obscuration,
['BO_T02_D2230:110a-19']	de nyid dbu ma pa yi lam //	de nyid dbu ma pa yi lam //	That itself is the path of the Mādhyamikas,
['BO_T02_D2230:110a-20']	rjes thob dag pa'i kun rdzob yin //	rjes thob dag pa'i kun rdzob yin //	The pure relative in the aftermath state.
['BO_T02_D2230:110a-21']	gsal ba 'am ni mi gsal ba //	gsal ba 'am ni mi gsal ba //	Whether clear or unclear,
['BO_T02_D2230:110a-22']	de nyid la ni dmigs su med //	de nyid la ni dmigs su med //	It is not to be objectified.
['BO_T02_D2230:110a-23']	rnam kun ma skyes ba rang bzhin //	rnam kun ma skyes ba rang bzhin //	The nature of all things is non-arisen.
['BO_T02_D2230:110a-24', 'BO_T02_D2230:110a-25']	gzhan dag dbu ma pa ru 'dod //🔽mtha' bzhi las ni rnam grol ba'i //	gzhan dag dbu ma pa ru 'dod // mtha' bzhi las ni rnam grol ba'i //	Others assert that the Madhyamaka🔽Is the clear deity, the nature of the deity,
['BO_T02_D2230:110a-26']	gsal ba lha yi bdag nyid can //	gsal ba lha yi bdag nyid can //	Free from the four extremes,
['BO_T02_D2230:110a-27']	gnyis med mchog tu bde ba'i dngos //	gnyis med mchog tu bde ba'i dngos //	The supreme non-dual bliss,
['BO_T02_D2230:110a-28']	rten cing 'brel 'byung tsam bdag nyid //	rten cing 'brel 'byung tsam bdag nyid //	The mere dependent origination itself.
['BO_T02_D2230:110a-29']	dbu ma drug pa zhes bya ba //	dbu ma drug pa zhes bya ba //	This is called the Sixfold Madhyamaka.
['BO_T02_D2230:110a-30']	slob dpon mkhas pa mee tris mdzad pa rdzogs so /	slob dpon mkhas pa mee tris mdzad pa rdzogs so /	The composition by the learned master Maitrīpa is complete.
['BO_T02_D2230:110a-31']	// / bla ma badzra p'a ni dang / nags tshos bsgyur ba'o//	// / bla ma badzra p'a ni dang / nags tshos bsgyur ba'o//	Translated by the guru Vajrapāṇi and Nagtso.
